"Provincia"|||"Municipio"|||"Localidad"|||"Código postal"|||"Dirección"|||"Margen"|||"Longitud"|||"Latitud"|||"Toma de datos"|||"Precio gasolina 95 E5"|||"Precio gasolina 95 E10"|||"Precio gasolina 95 E5 Premium"|||"Precio gasolina 98 E5"|||"Precio gasolina 98 E10"|||"Precio gasóleo A"|||"Precio gasóleo Premium"|||"Precio gasóleo B"|||"Precio gasóleo C"|||"Precio bioetanol"|||"% bioalcohol"|||"Precio biodiésel"|||"% éster metílico"|||"Precio gases licuados del petróleo"|||"Precio gas natural comprimido"|||"Precio gas natural licuado"|||"Precio hidrógeno"|||"Rótulo"|||"Tipo venta"|||"Rem."|||"Horario"|||"Tipo servicio"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08914"|||"PLAZA CARITG, 1"|||"N"|||"2,227889"|||"41,444056"|||"18/05/2023 00:00"|||"1,679"|||""|||""|||"1,821"|||""|||"1,439"|||"1,529"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BP BADANOR"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADALONA"|||"BADALONA"|||"08914"|||"AVENIDA DINAMARCA ESQ. COMUNIDAD EUROPEA, S/N"|||"N"|||"2,244194"|||"41,466556"|||"18/05/2023 00:00"|||"1,679"|||""|||""|||"1,821"|||""|||"1,439"|||"1,529"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BP MONTIGALA"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BADIA DEL VALLÈS"|||"BADIA DEL VALLES"|||"08214"|||"AVENIDA TIBIDABO, S/N"|||"N"|||"2,112250"|||"41,516361"|||"18/05/2023 00:00"|||"1,649"|||""|||""|||"1,799"|||""|||"1,419"|||"1,469"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
"BARCELONA"|||"BALSARENY"|||"BALSARENY"|||"08660"|||"AVENIDA INDUSTRIA, "|||"D"|||"1,874306"|||"41,858028"|||"15/05/2023 09:38"|||"1,525"|||""|||""|||""|||""|||"1,366"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"PETROBAGES S.L."|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BARBERÀ DEL VALLÈS"|||"BARBERA DEL VALLES"|||"08210"|||"CR DE RIPOLLET A SANTIGA KM  2,4"|||"N"|||"2,148250"|||"41,518694"|||"12/05/2023 09:43"|||"1,659"|||""|||""|||"1,799"|||""|||"1,459"|||"1,549"|||"1,149"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||" BP SANTIGA"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BARBERÀ DEL VALLÈS"|||"BARBERA DEL VALLES"|||"08210"|||"CARRETERA N-150 KM. 8,6"|||"I"|||"2,123889"|||"41,521083"|||"18/05/2023 00:00"|||"1,649"|||""|||""|||"1,799"|||""|||"1,419"|||"1,489"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 07:00-00:00"|||"L-D: 07:00-23:59 (A)"|||
"BARCELONA"|||"BARBERÀ DEL VALLÈS"|||"BARBERA DEL VALLES"|||"08210"|||"CL RONDA SANTA MARIA ,202-210 (ESQ."|||"D"|||"2,129750"|||"41,521139"|||"18/05/2023 00:00"|||"1,649"|||""|||""|||"1,799"|||""|||"1,419"|||"1,489"|||""|||""|||""|||""|||""|||""|||"0,939"|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
"BARCELONA"|||"BARBERÀ DEL VALLÈS"|||"BARBERA DEL VALLES"|||"08210"|||"CARRER ARQUIMEDES, 19"|||"D"|||"2,134389"|||"41,511750"|||"15/05/2023 13:13"|||"1,589"|||""|||""|||""|||""|||"1,359"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"PETROLOWCOST"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (D)"|||
"BARCELONA"|||"BARBERÀ DEL VALLÈS"|||"BARBERA DEL VALLES"|||"08210"|||"RONDA INDUSTRIA, 38"|||"D"|||"2,130972"|||"41,515806"|||"18/05/2023 10:52"|||"1,569"|||""|||""|||""|||""|||"1,329"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BALLENOIL"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08003"|||"CALLE DOCTOR AIGUADER, 50"|||"D"|||"2,189806"|||"41,383556"|||"18/05/2023 00:00"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"1,239"|||""|||""|||"NATURGY"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08005"|||"CALLE PUJADES, 154"|||"D"|||"2,198611"|||"41,399889"|||"15/05/2023 11:04"|||"1,689"|||""|||""|||"1,839"|||""|||"1,439"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"CAMPSA"|||"P"|||"dm"|||"L-D: 06:00-20:00"|||"L-D: 06:00-20:00 (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08005"|||"CALLE TAULAT 15 ESQUINA CIUDAD DE GRANADA, "|||"N"|||"2,201083"|||"41,396250"|||"18/05/2023 13:20"|||"1,659"|||""|||""|||"1,819"|||""|||"1,409"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"Q8"|||"P"|||"dm"|||"L-D: 24H"|||"Sin datos"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08005"|||"AVENIDA DEL LITORAL, 49"|||"D"|||"2,204278"|||"41,393111"|||"18/05/2023 00:00"|||"1,679"|||""|||"1,729"|||"1,829"|||""|||"1,439"|||"1,529"|||""|||""|||""|||""|||""|||""|||"0,949"|||""|||""|||""|||"REPSOL"|||"P"|||"OM"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08005"|||"PASEO CALVELL, 2"|||"N"|||"2,208250"|||"41,399028"|||"16/05/2023 14:30"|||"1,669"|||""|||""|||"1,819"|||""|||"1,419"|||"1,499"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"SHELL VILLA OLIMPICA"|||"P"|||"dm"|||"L-S: 09:00-13:00 y 17:00-21:00"|||"L-S: 09:00-13:00 (A), 17:00-21:00 (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08018"|||"AVENIDA DIAGONAL, 189"|||"N"|||"2,193083"|||"41,404639"|||"16/05/2023 14:30"|||"1,669"|||""|||""|||"1,819"|||""|||"1,419"|||"1,499"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"SHELL GLORIAS"|||"P"|||"dm"|||"L-S: 07:00-22:00"|||"L-S: 07:00-22:00 (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08018"|||"CALLE PERE IV, 79"|||"N"|||"2,193083"|||"41,397389"|||"16/05/2023 08:27"|||"1,518"|||""|||""|||"1,705"|||""|||"1,346"|||"1,376"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"EVOLUTION"|||"P"|||"dm"|||"L-D: 24H"|||"Sin datos"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08018"|||"CALLE PERU, 171"|||"N"|||"2,199000"|||"41,410889"|||"10/05/2023 14:53"|||"1,686"|||""|||""|||"1,835"|||""|||"1,438"|||"1,468"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"M AUTOMOCION"|||"P"|||"dm"|||"L-D: 24H"|||"L-D: 24H (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08018"|||"CL ALMOGAVARES  159 - 161"|||"N"|||"2,192778"|||"41,399333"|||"17/05/2023 10:30"|||"1,599"|||""|||""|||"1,859"|||""|||"1,519"|||"1,609"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"BP ALMOGAVARES"|||"P"|||"dm"|||"L-J: 06:00-22:00; V: 06:00-23:00; S-D: 10:00-14:30 y 15:30-21:00"|||"L-J: 06:00-22:00 (A); V: 06:00-23:00 (A); S-D: 10:00-14:30 (A), 15:30-21:00 (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08018"|||"CALLE CLOT, 2"|||"N"|||"2,187306"|||"41,405833"|||"17/05/2023 00:00"|||"1,639"|||""|||"1,719"|||""|||""|||"1,435"|||"1,535"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"CEPSA"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
"BARCELONA"|||"BARCELONA"|||"BARCELONA"|||"08018"|||"CALLE LOPE DE VEGA, 125/139"|||"I"|||"2,201306"|||"41,405917"|||"18/05/2023 17:00"|||"1,649"|||""|||"1,709"|||"1,781"|||""|||"1,439"|||"1,519"|||""|||""|||""|||""|||""|||""|||""|||""|||""|||""|||"CEPSA"|||"P"|||"OM"|||"L-D: 06:00-22:00"|||"L-D: 06:00-22:00 (A)"|||
